Bike Station Name,Bike Station Latitude,Bike Station Longitude,Available Bikes,POI Name,POI Rating,POI Latitude,POI Longitude,Distance (km)
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Paris Texas,4.0,43.6444681167682,-79.3960904,0.5813343520523144
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Paradise Grotto,4.3,43.648053177358186,-79.39008610206244,0.818879823996151
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,401 Richmond,4.6,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,The Power Plant Contemporary Art Gallery,4.3,43.63846783255385,-79.3818515921703,0.7815714100819423
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Abbozzo Gallery,0.0,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Tiff,4.0,43.64656218853344,-79.39050313780471,0.6508948315001982
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Gallery 44,0.0,43.64775,-79.39471,0.8351010152061127
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Banksy,1.0,43.6463509,-79.3967819,0.7774388114093184
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Arcadia Earth,4.8,43.6418488,-79.3971969,0.5101796388014331
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Unzipped Toronto,4.0,43.6444533204093,-79.3983849376019,0.7213970697651675
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Moore Gallery,0.0,43.64605,-79.39558,0.6955604657156864
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,7,Wynick-Tuck Gallery,0.0,43.64775,-79.39471,0.8351010152061127
420 Wellington St W,43.643834,-79.396649,10,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.9478757153280519
420 Wellington St W,43.643834,-79.396649,10,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7781104698614033
420 Wellington St W,43.643834,-79.396649,10,Tiff,4.0,43.64656218853344,-79.39050313780471,0.580153117706799
420 Wellington St W,43.643834,-79.396649,10,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7781104698614033
420 Wellington St W,43.643834,-79.396649,10,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.9478757153280519
420 Wellington St W,43.643834,-79.396649,10,Byblos,4.4,43.647546,-79.388123,0.8006269014663797
420 Wellington St W,43.643834,-79.396649,10,401 Richmond,4.6,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Graffiti Alley,4.5,43.64813943698649,-79.39888549999999,0.511447998161135
420 Wellington St W,43.643834,-79.396649,10,Abbozzo Gallery,0.0,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Tiff,4.0,43.64656218853344,-79.39050313780471,0.580153117706799
420 Wellington St W,43.643834,-79.396649,10,Gallery 44,0.0,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Off the Wall Art & Framing,3.4,43.6481523,-79.3992151,0.5226843513847395
420 Wellington St W,43.643834,-79.396649,10,Gusto 101,4.0,43.645002131066,-79.400309337027,0.3218984317435245
420 Wellington St W,43.643834,-79.396649,10,Pai Northern Thai Kitchen,4.4,43.64784,-79.38872,0.7781104698614033
420 Wellington St W,43.643834,-79.396649,10,La Plume,4.2,43.64321331537325,-79.39695987850428,0.0734105971779579
420 Wellington St W,43.643834,-79.396649,10,Maxime's,4.6,43.643996,-79.399495,0.22971234225029938
420 Wellington St W,43.643834,-79.396649,10,Aloette,4.3,43.64855831176563,-79.395963,0.5282121528799094
420 Wellington St W,43.643834,-79.396649,10,Miss Likklemore's,4.5,43.64511981042632,-79.39534954726696,0.17712965106433595
420 Wellington St W,43.643834,-79.396649,10,Chubby's Jamaican Kitchen,4.2,43.64532,-79.40066,0.3625830084446605
420 Wellington St W,43.643834,-79.396649,10,The Haam,4.2,43.64743,-79.39308,0.49229519118542464
420 Wellington St W,43.643834,-79.396649,10,Siempre Restaurant,3.9,43.643393311738,-79.3922074406298,0.3607380306639197
420 Wellington St W,43.643834,-79.396649,10,Vagabondo Restobar,4.1,43.64402,-79.39078,0.47270489521727743
420 Wellington St W,43.643834,-79.396649,10,Steam Whistle Kitchen,4.2,43.6406672,-79.3857124443711,0.9478757153280519
420 Wellington St W,43.643834,-79.396649,10,Khao San Road,3.9,43.646412027881496,-79.39361985450327,0.3762764459024586
420 Wellington St W,43.643834,-79.396649,10,Byblos,4.4,43.647546,-79.388123,0.8006269014663797
420 Wellington St W,43.643834,-79.396649,10,Cheffry's Artisanal Bistro,4.8,43.64823,-79.39494,0.507787281637481
420 Wellington St W,43.643834,-79.396649,10,Ruby Soho,4.1,43.64423,-79.40015,0.285129938242925
420 Wellington St W,43.643834,-79.396649,10,L’Avenue,3.9,43.64354,-79.39615,0.05177784095564559
420 Wellington St W,43.643834,-79.396649,10,Avenue Open Kitchen,4.3,43.647147,-79.3962388,0.36986494805686815
420 Wellington St W,43.643834,-79.396649,10,Rodney's Oyster House,4.1,43.644948,-79.396846,0.12488145019454712
420 Wellington St W,43.643834,-79.396649,10,Paris Texas,4.0,43.6444681167682,-79.3960904,0.08361857315811579
420 Wellington St W,43.643834,-79.396649,10,Paradise Grotto,4.3,43.648053177358186,-79.39008610206244,0.7063714533332367
420 Wellington St W,43.643834,-79.396649,10,401 Richmond,4.6,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Graffiti Alley,4.5,43.64813943698649,-79.39888549999999,0.511447998161135
420 Wellington St W,43.643834,-79.396649,10,Abbozzo Gallery,0.0,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Off the Wall Art & Framing,3.4,43.6481523,-79.3992151,0.5226843513847395
420 Wellington St W,43.643834,-79.396649,10,Tiff,4.0,43.64656218853344,-79.39050313780471,0.580153117706799
420 Wellington St W,43.643834,-79.396649,10,Gallery 44,0.0,43.64775,-79.39471,0.46254675307684173
420 Wellington St W,43.643834,-79.396649,10,Banksy,1.0,43.6463509,-79.3967819,0.28007112434396453
420 Wellington St W,43.643834,-79.396649,10,Birch Contemporary,0.0,43.64556,-79.40565,0.7492585073227942
420 Wellington St W,43.643834,-79.396649,10,Arcadia Earth,4.8,43.6418488,-79.3971969,0.2251041140224686
420 Wellington St W,43.643834,-79.396649,10,Unzipped Toronto,4.0,43.6444533204093,-79.3983849376019,0.15573593591444743
420 Wellington St W,43.643834,-79.396649,10,Moore Gallery,0.0,43.64605,-79.39558,0.2609901078660582
420 Wellington St W,43.643834,-79.396649,10,Wynick-Tuck Gallery,0.0,43.64775,-79.39471,0.46254675307684173
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.486460777545261
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.4290227082997196
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.44853057178182126
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,OCAD UNIVERSITY,3.5,43.653,-79.39117,0.6106482706188743
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.486460777545261
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Charles Pachter,5.0,43.6527434,-79.39451269999999,0.4844108309110354
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Graffiti Alley,4.5,43.64813943698649,-79.39888549999999,0.9829456238320415
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.4290227082997196
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.44853057178182126
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Off the Wall Art & Framing,3.4,43.6481523,-79.3992151,0.9868174186679425
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Aloette,4.3,43.64855831176563,-79.395963,0.9207591006175616
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Cheffry's Artisanal Bistro,4.8,43.64823,-79.39494,0.9652299833337303
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Graffiti Alley,4.5,43.64813943698649,-79.39888549999999,0.9829456238320415
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.486460777545261
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Charles Pachter,5.0,43.6527434,-79.39451269999999,0.4844108309110354
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Orbital Arts,4.9,43.65589,-79.40228,0.4673907242843644
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.4290227082997196
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Whippersnapper Gallery,4.5,43.65242,-79.40085,0.5966541771603685
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Off the Wall Art & Framing,3.4,43.6481523,-79.3992151,0.9868174186679425
Ross St / Cecil St - SMART,43.6568254,-79.3966159,1,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.44853057178182126
Dundas St W / Yonge St,43.656094,-79.381484,30,The Rabbit Hole,4.1,43.64995,-79.37976,0.6971201873185215
Dundas St W / Yonge St,43.656094,-79.381484,30,Edna + Vita,4.3,43.64940455,-79.38289144,0.7524033514537977
Dundas St W / Yonge St,43.656094,-79.381484,30,Art Gallery of Ontario,4.3,43.65361628236308,-79.39250626711919,0.92856532458783
Dundas St W / Yonge St,43.656094,-79.381484,30,Nicholas Metivier Gallery,0.0,43.65292,-79.37183,0.85310590749066
Dundas St W / Yonge St,43.656094,-79.381484,30,Bau-Xi Gallery,4.0,43.65423,-79.39267,0.9234794466544307
Dundas St W / Yonge St,43.656094,-79.381484,30,Verno Art Studios,5.0,43.649972079121355,-79.38322387258135,0.694970432531083
Dundas St W / Yonge St,43.656094,-79.381484,30,Collision Gallery,0.0,43.64782658166067,-79.37868394661265,0.9464964931354904
Dundas St W / Yonge St,43.656094,-79.381484,30,Mayberry Fine Art,1.0,43.6543287844205,-79.3922368437052,0.8870595077997675
Dundas St W / Yonge St,43.656094,-79.381484,30,Toronto Sculpture Garden,3.6,43.64986750091855,-79.37366770337918,0.9353108232352253
Dundas St W / Yonge St,43.656094,-79.381484,30,OCAD UNIVERSITY,3.5,43.653,-79.39117,0.8518183815674001
